순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,부산행,2016.7.20,"93,178,283,048",5.3%,"11,565,479","1,788","151,315",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,검사외전,2016.2.3,"77,320,403,264",4.4%,"9,707,581","1,812","153,532",한국,한국,(주)쇼박스
3,캡틴 아메리카: 시빌 워,2016.4.27,"72,672,111,827",4.2%,"8,677,249","1,991","161,696",미국,미국,월트디즈니컴퍼니코리아(주)
4,밀정,2016.9.7,"61,269,783,831",3.5%,"7,500,420","1,444","138,161",한국,한국,워너브러더스 코리아(주)
5,터널,2016.8.10,"57,529,484,417",3.3%,"7,120,508","1,105","113,201",한국,한국,(주)쇼박스
6,인천상륙작전,2016.7.27,"55,101,410,303",3.2%,"7,049,643","1,049","97,019",한국,한국,씨제이이앤엠(주)
7,럭키,2016.10.13,"56,444,461,256",3.2%,"6,975,290","1,234","155,977",한국,한국,(주)쇼박스
8,곡성,2016.5.12,"55,863,520,382",3.2%,"6,879,908","1,485","130,322",한국,한국,이십세기폭스코리아(주)
9,덕혜옹주,2016.8.3,"44,393,828,109",2.5%,"5,599,229",964,"97,312",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
10,닥터 스트레인지,2016.10.26,"47,481,830,396",2.7%,"5,446,239","1,503","162,856",미국,미국,월트디즈니컴퍼니코리아(주)
11,마스터,2016.12.21,"39,784,641,065",2.3%,"4,935,320","1,501","70,786",한국,한국,씨제이이앤엠(주)
12,주토피아,2016.2.17,"37,096,057,742",2.1%,"4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주)
13,신비한 동물사전,2016.11.16,"39,300,515,858",2.3%,"4,662,534","1,431","115,676",미국,"미국,영국",워너브러더스 코리아(주)
14,판도라,2016.12.7,"33,955,398,164",1.9%,"4,313,864","1,184","90,758",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
15,아가씨,2016.6.1,"35,211,229,991",2.0%,"4,287,839","1,171","90,365",한국,한국,씨제이이앤엠(주)
16,쿵푸팬더3,2016.1.28,"31,340,798,156",1.8%,"3,984,812","1,365","97,404",미국,미국,씨제이이앤엠(주)
17,귀향,2016.2.24,"27,249,738,990",1.6%,"3,587,173",876,"90,286",한국,한국,(주)와우픽쳐스
18,데드풀,2016.2.17,"27,595,618,651",1.6%,"3,317,196","1,036","82,521",미국,미국,이십세기폭스코리아(주)
19,나우 유 씨 미 2,2016.7.13,"25,116,690,113",1.4%,"3,100,113","1,200","56,981",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
20,형,2016.11.23,"23,113,768,293",1.3%,"2,979,659",993,"83,518",한국,한국,씨제이이앤엠(주)
21,엑스맨: 아포칼립스,2016.5.25,"24,467,887,950",1.4%,"2,938,818","1,262","66,471",미국,미국,이십세기폭스코리아(주)
22,미스 페레그린과 이상한 아이들의 집,2016.9.28,"21,841,214,586",1.3%,"2,718,158",904,"70,451",미국,"미국,벨기에,영국",이십세기폭스코리아(주)
23,히말라야,2015.12.16,"20,705,587,567",1.2%,"2,630,352",955,"61,673",한국,한국,씨제이이앤엠(주)
24,제이슨 본,2016.7.27,"21,253,434,663",1.2%,"2,611,966",827,"39,806",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
25,도리를 찾아서,2016.7.6,"20,703,899,933",1.2%,"2,601,734","1,091","55,110",미국,미국,월트디즈니컴퍼니코리아(주)
26,아수라,2016.9.28,"20,576,226,662",1.2%,"2,594,028","1,278","68,040",한국,한국,씨제이이앤엠(주)
27,정글북,2016.6.9,"21,517,647,134",1.2%,"2,537,438",924,"59,041",미국,미국,월트디즈니컴퍼니코리아(주)
28,마이펫의 이중생활,2016.8.3,"19,406,436,655",1.1%,"2,520,670",726,"39,653",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
29,라라랜드,2016.12.7,"19,996,139,232",1.1%,"2,385,108",727,"56,408",미국,미국,판씨네마(주)
30,배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,"18,906,246,428",1.1%,"2,256,913","1,709","95,669",미국,미국,워너브러더스 코리아(주)
31,굿바이 싱글,2016.6.29,"16,912,706,195",1.0%,"2,108,273",841,"56,380",한국,한국,(주)쇼박스
32,봉이 김선달,2016.7.6,"16,227,052,642",0.9%,"2,051,277",942,"51,418",한국,한국,씨제이이앤엠(주)
33,레버넌트: 죽음에서 돌아온 자,2016.1.14,"16,107,360,130",0.9%,"2,007,188",967,"55,063",미국,미국,이십세기폭스코리아(주)
34,컨저링 2,2016.6.9,"15,759,374,229",0.9%,"1,928,605",640,"45,816",미국,미국,워너브러더스 코리아(주)
35,내부자들: 디 오리지널,2015.12.31,"15,742,927,260",0.9%,"1,924,720",838,"45,697",한국,한국,(주)쇼박스
36,수어사이드 스쿼드,2016.8.3,"15,874,111,188",0.9%,"1,898,220",823,"29,512",미국,미국,워너브러더스 코리아(주)
37,인디펜던스 데이 : 리써전스,2016.6.22,"12,770,879,840",0.7%,"1,500,830",926,"47,432",미국,미국,이십세기폭스코리아(주)
38,탐정 홍길동: 사라진 마을,2016.5.4,"11,516,170,845",0.7%,"1,430,885",764,"41,076",한국,한국,씨제이이앤엠(주)
39,벤허,2016.9.14,"11,410,860,395",0.7%,"1,400,301",717,"38,941",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
40,굿 다이노,2016.1.7,"9,756,167,238",0.6%,"1,328,913",814,"33,127",미국,미국,월트디즈니컴퍼니코리아(주)
41,셜록: 유령신부,2016.1.2,"9,992,425,049",0.6%,"1,278,894",891,"32,683",영국,영국,메가박스(주)플러스엠
42,특별수사: 사형수의 편지,2016.6.16,"9,929,947,065",0.6%,"1,241,899",691,"39,372",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
43,시간이탈자,2016.4.13,"9,731,838,195",0.6%,"1,202,384",733,"55,075",한국,한국,씨제이이앤엠(주)
44,동주,2016.2.17,"8,889,077,089",0.5%,"1,172,641",543,"39,958",한국,한국,메가박스(주)플러스엠
45,워크래프트: 전쟁의 서막,2016.6.9,"10,142,271,205",0.6%,"1,163,274",736,"34,087",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
46,스타트렉 비욘드,2016.8.17,"10,190,375,820",0.6%,"1,157,156",716,"38,199",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
47,미씽: 사라진 여자,2016.11.30,"8,881,616,256",0.5%,"1,153,109",790,"40,617",한국,한국,메가박스(주)플러스엠
48,"당신, 거기 있어줄래요",2016.12.14,"8,999,085,248",0.5%,"1,124,815",767,"39,181",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
49,라이트 아웃,2016.8.24,"8,893,059,975",0.5%,"1,111,284",659,"34,444",미국,미국,워너브러더스 코리아(주)
50,오빠생각,2016.1.21,"8,060,591,287",0.5%,"1,069,864",855,"44,801",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
51,"날, 보러와요",2016.4.7,"8,836,144,063",0.5%,"1,063,442",683,"49,237",한국,한국,메가박스(주)플러스엠
52,씽,2016.12.21,"8,203,857,789",0.5%,"1,063,175",795,"19,645",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
53,맨 인 더 다크,2016.10.5,"8,480,368,672",0.5%,"1,003,406",671,"40,136",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
54,"고산자, 대동여지도",2016.9.7,"7,801,007,258",0.4%,"974,262",765,"38,048",한국,한국,씨제이이앤엠(주)
55,미 비포 유,2016.6.1,"7,663,772,990",0.4%,"945,172",481,"28,458",미국,미국,워너브러더스 코리아(주)
56,매그니피센트 7,2016.9.14,"7,633,490,421",0.4%,"921,317",579,"27,648",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
57,갓 오브 이집트,2016.3.3,"7,621,291,624",0.4%,"919,834",618,"35,323",미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
58,레전드 오브 타잔,2016.6.29,"7,196,970,717",0.4%,"858,402",593,"28,021",미국,미국,워너브러더스 코리아(주)
59,좋아해줘,2016.2.17,"6,572,774,337",0.4%,"848,148",637,"27,125",한국,한국,씨제이이앤엠(주)
60,브리짓 존스의 베이비,2016.9.28,"6,678,585,874",0.4%,"820,995",509,"30,736",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
61,스플릿,2016.11.9,"6,102,712,539",0.4%,"758,195",702,"32,616",한국,한국,오퍼스픽쳐스
62,런던 해즈 폴른,2016.3.10,"5,908,367,979",0.3%,"731,584",526,"37,569",미국,"미국,영국",메가박스(주)플러스엠
63,국가대표 2,2016.8.10,"5,482,232,042",0.3%,"709,929",562,"20,689",한국,한국,메가박스(주)플러스엠
64,인페르노,2016.10.19,"5,656,281,303",0.3%,"689,071",754,"31,809",미국,"미국,일본,터키,헝가리",유니버설픽쳐스인터내셔널 코리아(유)
65,앵그리버드 더 무비,2016.5.19,"5,218,111,744",0.3%,"680,606",661,"15,812",미국,"미국,핀란드",유니버설픽쳐스인터내셔널 코리아(유)
66,그날의 분위기,2016.1.14,"5,149,571,612",0.3%,"653,287",592,"27,186",한국,한국,(주)쇼박스
67,사냥,2016.6.29,"4,912,658,515",0.3%,"645,922",696,"28,862",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
68,널 기다리며,2016.3.10,"5,234,303,336",0.3%,"635,235",551,"33,774",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
69,설리: 허드슨강의 기적,2016.9.28,"5,234,170,754",0.3%,"627,102",573,"26,609",미국,미국,워너브러더스 코리아(주)
70,잭 리처: 네버 고 백,2016.11.30,"4,638,072,258",0.3%,"611,097",667,"23,659",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
71,로그 원: 스타워즈 스토리,2016.12.28,"5,127,537,094",0.3%,"596,487",907,"15,441",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
72,싱 스트리트,2016.5.19,"4,489,637,672",0.3%,"560,790",494,"22,825",아일랜드,"아일랜드,영국,미국",(주)이수C&E
73,아이스 에이지: 지구 대충돌,2016.7.20,"4,092,484,600",0.2%,"553,760",580,"13,018",미국,미국,이십세기폭스코리아(주)
74,몬스터 호텔 2,2015.12.24,"4,059,258,691",0.2%,"552,334",637,"13,162",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
75,메카닉: 리크루트,2016.8.31,"4,458,200,800",0.3%,"551,897",320,"17,497",미국,"미국,프랑스",(주)제이앤씨미디어그룹
76,고스트버스터즈,2016.8.25,"4,116,570,075",0.2%,"515,553",511,"18,026",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
77,거울나라의 앨리스,2016.9.7,"4,145,733,267",0.2%,"513,202",515,"19,585",미국,미국,월트디즈니컴퍼니코리아(주)
78,가려진 시간,2016.11.16,"3,946,462,400",0.2%,"510,878",884,"30,404",한국,한국,(주)쇼박스
79,명탐정 코난: 순흑의 악몽,2016.8.3,"3,766,157,500",0.2%,"508,869",447,"7,983",일본,일본,씨제이이앤엠(주)
80,해어화,2016.4.13,"3,768,200,759",0.2%,"485,695",572,"32,322",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
81,계춘할망,2016.5.19,"3,600,794,348",0.2%,"482,516",526,"19,644",한국,한국,(주)콘텐츠 난다긴다
82,"로봇, 소리",2016.1.27,"3,519,595,560",0.2%,"476,665",609,"25,502",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
83,스타워즈: 깨어난 포스,2015.12.17,"4,204,317,791",0.2%,"470,645",552,"12,801",미국,미국,월트디즈니컴퍼니코리아(주)
84,빅쇼트,2016.1.21,"3,622,652,707",0.2%,"446,712",489,"17,316",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
85,헌츠맨: 윈터스 워,2016.4.13,"3,544,262,706",0.2%,"445,009",557,"25,789",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
86,나를 잊지 말아요,2016.1.7,"3,398,915,000",0.2%,"425,799",559,"19,138",한국,한국,씨제이이앤엠(주)
87,나의 소녀시대,2016.5.12,"3,314,491,150",0.2%,"409,537",201,"12,404",대만,대만,오드
88,조선마술사,2015.12.30,"3,143,566,733",0.2%,"403,919",608,"13,708",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
89,언더 워터,2016.7.13,"3,111,772,391",0.2%,"384,789",518,"13,058",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
90,클로버필드 10번지,2016.4.7,"2,928,428,655",0.2%,"357,736",575,"24,680",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
91,위자: 저주의 시작,2016.11.9,"2,637,517,406",0.2%,"331,877",467,"15,660",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
92,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016.7.20,"2,467,275,080",0.1%,"330,725",403,"6,607",일본,일본,씨제이이앤엠(주)
93,아기배달부 스토크,2016.12.7,"2,436,955,700",0.1%,"322,354",538,"9,388",미국,미국,워너브러더스 코리아(주)
94,캐롤,2016.2.4,"2,645,756,616",0.2%,"319,357",288,"11,092",미국,"미국,영국",CGV아트하우스
95,위대한 소원,2016.4.21,"2,440,004,213",0.1%,"308,398",524,"22,769",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
96,스포트라이트,2016.2.24,"2,402,036,255",0.1%,"299,878",320,"13,482",미국,미국,(주)팝엔터테인먼트
97,구스범스,2016.1.14,"2,221,639,712",0.1%,"297,356",515,"13,477",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
98,포인트 브레이크,2016.1.7,"2,323,707,051",0.1%,"294,320",409,"12,111",미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
99,앨빈과 슈퍼밴드: 악동 어드벤처,2016.2.4,"2,125,772,200",0.1%,"292,495",380,"8,917",미국,미국,이십세기폭스코리아(주)
100,혼숨,2016.10.26,"2,258,422,445",0.1%,"288,016",498,"14,510",한국,한국,(주)프레인글로벌
101,극장판 안녕 자두야,2016.5.4,"2,137,638,000",0.1%,"280,406",523,"7,758",한국,한국,씨제이이앤엠(주)
102,비밀은 없다,2016.6.23,"2,029,410,239",0.1%,"250,829",502,"14,749",한국,한국,씨제이이앤엠(주)
103,순정,2016.2.24,"1,738,293,033",0.1%,"240,484",467,"10,545",한국,한국,(주)리틀빅픽쳐스
104,닌자터틀 : 어둠의 히어로,2016.6.16,"1,934,052,000",0.1%,"235,207",517,"13,943",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
105,드림 쏭,2016.9.14,"1,826,269,700",0.1%,"234,387",399,"6,408",미국,미국,(주)이수C&E
106,독수리 에디,2016.4.7,"1,799,381,120",0.1%,"226,341",528,"17,411",미국,미국,이십세기폭스코리아(주)
107,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016.12.22,"1,666,637,400",0.1%,"219,047",480,"4,563",일본,일본,(주)이수C&E
108,원피스 필름 골드,2016.12.8,"1,700,502,100",0.1%,"215,546",445,"6,730",일본,일본,씨제이이앤엠(주)
109,아이 엠 어 히어로,2016.9.21,"1,806,714,900",0.1%,"212,599",263,"8,536",일본,일본,(주)영화사 빅
110,남과 여,2016.2.25,"1,651,122,533",0.1%,"203,775",449,"9,790",한국,한국,(주)쇼박스
111,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016.1.7,"1,472,866,700",0.1%,"202,538",350,"6,707",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
112,"무현, 두 도시 이야기",2016.10.26,"1,511,430,600",0.1%,"192,668",136,"8,986",한국,한국,(주)모멘텀엔터테인먼트
113,글로리데이,2016.3.24,"1,485,342,868",0.1%,"189,221",494,"12,578",한국,한국,(주)엣나인필름
114,노트북,2004.11.26,"1,505,476,700",0.1%,"182,633",148,"11,531",미국,미국,"글뫼 주식회사,씨제이엔터테인먼트"
115,대호,2015.12.16,"1,385,096,300",0.1%,"178,574",409,"5,222",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
116,부활,2016.3.17,"1,247,191,600",0.1%,"176,122",136,"8,581",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
117,매직브러시,2016.5.4,"1,294,829,300",0.1%,"172,370",460,"5,404",중국,중국,(주)영화사 빅
118,조이,2016.3.10,"1,378,007,200",0.1%,"172,253",405,"12,860",미국,미국,이십세기폭스코리아(주)
119,대배우,2016.3.30,"1,246,200,228",0.1%,"169,984",474,"16,517",한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스"
120,빅,2016.7.27,"1,176,116,720",0.1%,"161,196",332,"3,870",미국,"미국,인도",(주)이수C&E
121,달빛궁궐,2016.9.7,"1,147,863,700",0.1%,"153,097",425,"6,067",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
122,어린왕자,2015.12.23,"1,142,087,833",0.1%,"150,512",368,"3,973",프랑스,프랑스,씨네그루(주)다우기술
123,미스컨덕트,2016.3.30,"1,138,175,038",0.1%,"149,095",470,"12,017",미국,미국,"(주)박수엔터테인먼트,㈜코리아스크린"
124,500일의 썸머,2010.1.21,"1,222,841,900",0.1%,"147,891",156,"5,851",미국,미국,"(주)팝엔터테인먼트,이십세기폭스코리아(주)"
125,서울역,2016.8.17,"1,162,471,562",0.1%,"147,031",440,"8,054",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
126,13시간,2016.3.3,"1,170,500,514",0.1%,"145,952",380,"9,615",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
127,자백,2016.10.13,"1,128,388,200",0.1%,"143,648",152,"6,071",한국,한국,(주)엣나인필름
128,장난감이 살아있다,2016.9.7,"1,112,430,600",0.1%,"142,977",294,"4,346",아르헨티나,"아르헨티나,스페인","㈜코리아스크린,와이드 릴리즈(주)"
129,극장판 아이엠스타 : 꿈의 오디션!,2016.2.11,"1,048,246,100",0.1%,"141,351",254,"3,903",일본,일본,씨제이이앤엠(주)
130,플로렌스,2016.8.24,"1,079,970,100",0.1%,"139,717",382,"8,146",영국,영국,(주)이수C&E
131,로빈슨 크루소,2016.9.7,"1,071,533,400",0.1%,"139,392",329,"4,326",벨기에,벨기에,(주)영화사 빅
132,제 5침공,2016.2.25,"1,041,049,900",0.1%,"135,874",312,"5,195",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
133,극장판 꼬마버스 타요의 에이스 구출작전,2016.1.21,"905,899,900",0.1%,"135,398",200,"5,395",한국,한국,(주)아이코닉스
134,대니쉬 걸,2016.2.17,"1,074,963,884",0.1%,"134,079",246,"5,683",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
135,인생은 아름다워,1999.3.6,"847,806,900",0.0%,"127,325",147,"7,167",이탈리아,이탈리아,씨네그루(주)키다리이엔티
136,카페 소사이어티,2016.9.14,"1,047,396,666",0.1%,"126,460",199,"6,371",미국,미국,CGV아트하우스
137,마이 리틀 자이언트,2016.8.10,"991,375,900",0.1%,"125,800",128,"3,409",미국,미국,월트디즈니컴퍼니코리아(주)
138,죽여주는 여자,2016.10.6,"884,865,300",0.1%,"121,444",317,"8,350",한국,한국,CGV아트하우스
139,헤이트풀8,2016.1.7,"996,268,400",0.1%,"120,362",167,"4,761",미국,미국,(주)누리픽쳐스
140,감바의 대모험,2016.11.10,"874,685,700",0.1%,"117,488",400,"4,735",일본,일본,(주)영화사 빅
141,최강전사 미니특공대: 영웅의 탄생,2016.2.4,"877,875,200",0.1%,"117,170",349,"4,863",한국,한국,(주)삼지애니메이션
142,다이노소어 어드벤처 : 백악기 공룡대백과,2016.5.4,"854,091,000",0.0%,"112,242",325,"3,643",영국,영국,"(주)박수엔터테인먼트,(주)애니플러스"
143,피터와 드래곤,2016.9.28,"865,600,600",0.0%,"109,137",167,"5,201",미국,미국,월트디즈니컴퍼니코리아(주)
144,킹 오브 프리즘,2016.8.11,"859,771,500",0.0%,"103,852",53,"2,291",일본,일본,(주)박수엔터테인먼트
145,다이버전트 시리즈: 얼리전트,2016.5.12,"818,897,545",0.0%,"103,556",393,"7,611",미국,미국,씨네그루(주)키다리이엔티
146,무서운 이야기 3 : 화성에서 온 소녀,2016.6.1,"784,148,500",0.0%,"97,804",317,"6,407",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
147,바스티유 데이,2016.10.13,"766,892,600",0.0%,"96,579",422,"10,270",미국,"미국,프랑스",롯데쇼핑㈜롯데엔터테인먼트
148,걷기왕,2016.10.20,"710,905,075",0.0%,"95,542",462,"10,476",한국,한국,CGV아트하우스
149,일사각오,2016.3.17,"682,581,500",0.0%,"94,767",66,"2,702",한국,한국,파이오니아21
150,나의 산티아고,2016.7.14,"721,244,232",0.0%,"94,243",88,"3,431",독일,독일,(주)영화사 진진
151,본 투 비 블루,2016.6.9,"764,395,124",0.0%,"93,817",147,"4,842",캐나다,"캐나다,영국,미국",그린나래미디어(주)
152,태풍이 지나가고,2016.7.27,"772,484,972",0.0%,"93,005",72,"3,085",일본,일본,(주)티캐스트
153,오베라는 남자,2016.5.25,"738,121,888",0.0%,"92,380",255,"4,471",스웨덴,스웨덴,"(주)싸이더스,(주)디스테이션"
154,크리미널,2016.6.22,"738,985,181",0.0%,"92,358",351,"7,018",영국,"영국,미국",(주)영화사 빅
155,슈퍼 프렌즈,2016.8.10,"663,075,600",0.0%,"89,615",255,"2,483",한국,한국,씨네그루(주)키다리이엔티
156,루돌프와 많이있어,2016.12.28,"682,883,600",0.0%,"89,510",375,"1,733",일본,일본,씨제이이앤엠(주)
157,룸,2016.3.3,"700,569,900",0.0%,"87,673",333,"6,926",아일랜드,"아일랜드,캐나다",(주)영화사 빅
158,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015.12.23,"628,234,300",0.0%,"86,193",270,"2,524",일본,일본,(주)이수C&E
159,유스,2016.1.7,"663,547,600",0.0%,"85,363",65,"3,204",이탈리아,"이탈리아,프랑스,스위스,영국",그린나래미디어(주)
160,다이노X 탐험대,2016.5.4,"642,526,900",0.0%,"83,319",348,"3,126",한국,한국,(주)이수C&E
161,로스트 인 더스트,2016.11.3,"633,772,822",0.0%,"81,236",354,"7,248",미국,미국,메가박스(주)플러스엠
162,최악의 하루,2016.8.25,"639,959,190",0.0%,"80,754",199,"5,606",한국,한국,CGV아트하우스
163,오 마이 그랜파,2016.3.17,"632,806,532",0.0%,"79,701",396,"8,842",미국,미국,판씨네마(주)
164,엽기적인 그녀 2,2016.5.12,"594,260,900",0.0%,"77,124",387,"6,132",한국,한국,(주)리틀빅픽쳐스
165,하이큐!! 끝과 시작,2016.11.16,"544,846,000",0.0%,"75,704",130,"3,683",일본,일본,(주)팝엔터테인먼트
166,라스트 위치 헌터,2015.12.30,"589,730,800",0.0%,"72,481",278,"2,843",미국,미국,TCO(주)더콘텐츠온
167,언더월드: 블러드 워,2016.11.30,"567,567,100",0.0%,"72,071",183,"4,953",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
168,선생님의 일기,2016.11.2,"498,454,200",0.0%,"71,297",163,"6,544",태국,태국,"(주)드림팩트엔터테인먼트,(주)미로스페이스"
169,세상에서 고양이가 사라진다면,2016.11.9,"504,349,200",0.0%,"70,424",175,"4,349",일본,일본,(주)크리픽쳐스
170,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016.9.28,"420,233,500",0.0%,"69,881",164,"3,061",영국,영국,와이드 릴리즈(주)
171,어카운턴트,2016.10.13,"548,544,928",0.0%,"69,529",375,"6,965",미국,미국,워너브러더스 코리아(주)
172,번개맨,2016.2.11,"517,127,000",0.0%,"69,363",393,"4,644",한국,한국,씨네그루(주)키다리이엔티
173,이퀄스,2016.8.31,"519,972,300",0.0%,"68,902",357,"6,177",미국,미국,씨네그루(주)키다리이엔티
174,스티브 잡스,2016.1.21,"535,351,276",0.0%,"68,815",384,"6,396",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
175,아이엠스타 뮤직어워드,2016.9.14,"455,696,500",0.0%,"67,027",358,"3,019",일본,일본,씨제이이앤엠(주)
176,올레,2016.8.25,"522,938,900",0.0%,"66,883",338,"5,126",한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스"
177,리틀메딕: 몸속탐험대,2016.11.24,"515,053,700",0.0%,"66,562",291,"2,442",독일,독일,(주)팝엔터테인먼트
178,데몰리션,2016.7.13,"544,916,821",0.0%,"66,473",198,"3,673",미국,미국,(주)리틀빅픽쳐스
179,레터스 투 갓,2016.2.25,"432,604,300",0.0%,"66,250",119,"2,297",미국,미국,(주)모멘텀엔터테인먼트
180,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016.11.3,"503,900,800",0.0%,"64,622",406,"3,805",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
181,트럼보,2016.4.7,"487,002,100",0.0%,"61,964",310,"5,064",미국,미국,"그린나래미디어(주),(주)프레인글로벌"
182,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,2016.2.25,"361,596,000",0.0%,"60,977",155,"2,091",영국,영국,와이드 릴리즈(주)
183,두 남자,2016.11.30,"459,566,121",0.0%,"60,365",397,"7,199",한국,한국,씨네그루(주)키다리이엔티
184,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016.12.21,"453,920,100",0.0%,"59,147",282,"2,136",일본,일본,(주)넥스트엔터테인먼트월드(NEW)
185,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,2016.6.2,"350,932,000",0.0%,"58,619",162,"2,313",영국,영국,와이드 릴리즈(주)
186,죽은 시인의 사회,1990.5.19,"435,056,700",0.0%,"57,789",92,"2,163",미국,미국,"(주)드림팩트엔터테인먼트,브에나비스타픽쳐스"
187,더 보이,2016.6.1,"450,554,821",0.0%,"56,959",186,"2,417",미국,미국,(주)리틀빅픽쳐스
188,극장판 프랭키와 친구들: 생명의 나무,2016.4.13,"410,560,600",0.0%,"56,842",258,"2,763",한국,한국,예지림엔터테인먼트
189,그물,2016.10.6,"426,185,300",0.0%,"56,541",381,"6,278",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
190,드레스메이커,2016.2.11,"447,353,000",0.0%,"56,316",176,"3,058",호주,호주,(주)리틀빅픽쳐스
191,비포 선라이즈,1996.3.30,"455,476,053",0.0%,"56,082",142,"5,072",미국,"미국,오스트리아 ,스위스",(주)드림팩트엔터테인먼트
192,빅뱅 메이드,2016.6.30,"466,486,700",0.0%,"55,582",56,"1,794",한국,한국,씨제이 씨지브이(CJ CGV)(주)
193,백설공주 : 사라진 아빠를 찾아서,2016.9.29,"425,994,300",0.0%,"55,355",213,"1,961",중국,중국,예지림엔터테인먼트
194,불의 전차,2016.6.16,"387,302,100",0.0%,"55,051",84,"2,093",영국,영국,(주)프레인글로벌
195,파라노말 액티비티: 더 고스트 디멘션,2016.4.21,"454,055,200",0.0%,"54,972",353,"5,654",미국,미국,(주)박수엔터테인먼트
196,순종,2016.11.17,"384,957,200",0.0%,"54,456",104,"2,122",한국,한국,"(재)CBS,(주)영화사 안다미로"
197,잡아야 산다,2016.1.7,"410,361,400",0.0%,"54,450",219,"3,187",한국,한국,오퍼스픽쳐스
198,뽀로로 극장판 컴퓨터 왕국 대모험,2015.12.10,"392,627,100",0.0%,"53,939",151,"2,024",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
199,"나, 다니엘 블레이크",2016.12.8,"426,846,300",0.0%,"53,852",63,"2,384",영국,영국,(주)영화사 진진
200,브루클린,2016.4.21,"412,985,600",0.0%,"51,106",40,"2,148",미국,미국,이십세기폭스코리아(주)
201,포레스트: 죽음의 숲,2016.3.30,"391,633,862",0.0%,"50,631",312,"4,507",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
202,마음이 외치고 싶어해,2016.3.30,"405,854,600",0.0%,"49,832",122,"3,718",일본,일본,스튜디오 프로그레시브 인큐베이터
203,바닷마을 다이어리,2015.12.17,"409,929,900",0.0%,"49,069",64,"1,643",일본,일본,(주)티캐스트
