순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,택시운전사,2017.8.2,"95,853,645,649",5.5%,"12,186,327","1,906","184,075",한국,한국,(주)쇼박스
2,신과함께-죄와 벌,2017.12.20,"68,350,496,432",3.9%,"8,539,495","1,912","91,301",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
3,공조,2017.1.18,"63,783,138,326",3.6%,"7,817,631","1,392","142,989",한국,한국,씨제이이앤엠(주)
4,스파이더맨: 홈 커밍,2017.7.5,"59,125,813,820",3.4%,"7,258,678","1,965","164,448",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
5,범죄도시,2017.10.3,"56,318,014,149",3.2%,"6,879,841","1,315","149,334",한국,한국,"메가박스(주)플러스엠,(주)키위미디어그룹"
6,군함도,2017.7.26,"50,510,565,168",2.9%,"6,592,151","2,027","108,775",한국,한국,씨제이이앤엠(주)
7,청년경찰,2017.8.9,"44,381,150,516",2.5%,"5,653,270","1,102","118,544",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
8,더 킹,2017.1.18,"43,487,099,535",2.5%,"5,317,383","1,310","107,978",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,미녀와 야수,2017.3.16,"42,133,769,579",2.4%,"5,138,330","1,627","140,562",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,킹스맨: 골든 서클,2017.9.27,"40,987,484,736",2.3%,"4,945,484","1,687","95,922",미국,"미국,영국",이십세기폭스코리아(주)
11,토르: 라그나로크,2017.10.25,"39,227,691,395",2.2%,"4,853,778","1,640","137,423",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,꾼,2017.11.22,"31,312,029,795",1.8%,"4,018,035","1,314","117,398",한국,한국,(주)쇼박스
13,강철비,2017.12.14,"31,994,897,566",1.8%,"4,014,293","1,426","66,760",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
14,남한산성,2017.10.3,"31,225,083,792",1.8%,"3,849,087","1,229","71,101",한국,한국,씨제이이앤엠(주)
15,미이라,2017.6.6,"30,504,689,978",1.7%,"3,689,325","1,257","105,228",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
16,분노의 질주: 더 익스트림,2017.4.12,"29,981,156,348",1.7%,"3,653,238","1,469","113,241",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
17,너의 이름은.,2017.1.4,"29,251,748,156",1.7%,"3,637,599",947,"82,977",일본,일본,메가박스(주)플러스엠
18,슈퍼배드 3,2017.7.26,"24,217,091,019",1.4%,"3,324,874","1,057","59,388",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
19,아이 캔 스피크,2017.9.21,"25,526,451,186",1.5%,"3,279,296","1,140","93,012",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
20,캐리비안의 해적: 죽은 자는 말이 없다,2017.5.24,"24,975,495,122",1.4%,"3,049,894","1,357","85,225",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
